brand, product_name, shipping
HP,HP Desktop Computer EliteDesk 800 G2 (W8R60US#ABA) Intel Core i5 6th Gen 6600 (3.30 GHz) 16 GB DDR4 128 GB SSD AMD Radeon R9 350 Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro),Free Shipping
Lenovo,Lenovo Desktop Computer Legion Y720T-34ASU 90H90001US Ryzen 5 1st Gen 1400 (3.20 GHz) 8 GB DDR4 1 TB HDD AMD Radeon RX 570 Windows 10 Home 64-Bit,$9.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Master 2271 Ryzen 7 2nd Gen 2700X (3.70 GHz) 8 GB DDR4 2 TB HDD AMD Radeon RX 580 Windows 10 Home 64-Bit,$9.99 Shipping
ASUS,ASUS Desktop Computer Eeebox E410-B0735 Mini PC Celeron N3150 (1.60 GHz) 2 GB DDR3L 64 GB SSD Intel HD Graphics Windows 10 Home 64-Bit.,$9.99 Shipping
ASUS,ASUS Desktop Computer VivoMini VC68V-G030Z Intel Core i5 7th Gen 7500 (3.40 GHz) 8 GB DDR4 256 GB SSD Intel HD Graphics 630 Windows 10 Pro 64-Bit,$4.99 Shipping
Lenovo,Lenovo Desktop Computer IdeaCentre 720-18ASU (90H1002QUS) Ryzen 3 1st Gen 1200 (3.10 GHz) 8 GB DDR4 1 TB HDD AMD Radeon RX 550 Windows 10 Home 64-Bit,Free Shipping
Corsair,Corsair ONE PRO Compact Gaming PC CS-9000017-NA Intel Core i7 8th Gen 8700K (3.70 GHz) 16 GB DDR4 2 TB HDD 480 GB M.2 SSD NVIDIA GeForce GTX 1080 Windows 10 Home 64-Bit,$9.99 Shipping
ASUS,ASUS Desktop Computer EeeBox E410-B0725 Mini PC Celeron N3150 (1.60 GHz) 2 GB DDR3L 32 GB SSD Intel HD Graphics Windows 10 Home 64-Bit,$4.99 Shipping
iBUYPOWER,iBUYPOWER Battlebox Essential Desktop Computer NE8440Ki Intel Core i7 8th Gen 8700K (3.70 GHz) 16 GB DDR4 1 TB HDD 240 GB SSD NVIDIA GeForce GTX 1060 Windows 10 Home 64-Bit,$7.99 Shipping
iBUYPOWER,iBUYPOWER  Desktop PC Chimera NE003i Intel Core i7 7th Gen 7700K (4.20 GHz) 16 GB DDR4 2 TB HDD 240 GB SSD NVIDIA GeForce GTX 1080 Windows 10 Home 64-Bit,$9.99 Shipping
ASUS,ASUS Gaming Desktop GD30CI-DB71-GTX1080TI Intel Core i7 7th Gen 7700 (3.60 GHz) 16 GB DDR4 1 TB HDD 256 GB SSD NVIDIA GeForce GTX 1080 Ti Windows 10 Home 64-Bit,Free Shipping
ASUS,ASUS Desktop Computer CHROMEBOX2-G112U Intel Core i7 5th Gen 5500U (2.40 GHz) 4 GB DDR3L 16 GB M.2 SSD Intel HD Graphics 5500 Google Chrome OS,$4.99 Shipping
Acer America,Acer Desktop Computer Predator Orion 9000 PO9-900-I9KHCFF1080Ti2 Intel Core i9 X-series 7980XE (2.60 GHz) 128 GB DDR4 2 TB HDD 512 GB PCIe NVMe SSD NVIDIA GeForce GTX 1080 Ti SLI Windows 10 Home 64-Bi,Free Shipping
ASUS,ASUS Desktop PC VivoMini VC66-B018Z Intel Core i3 7th Gen 7100 (3.90 GHz) 4 GB DDR4 500 GB HDD Intel HD Graphics 630 Windows 10 Pro 64-Bit,$4.99 Shipping
Lenovo,Lenovo Desktop PC IdeaCentre 720-18ASU 90H10005US Ryzen 5 1st Gen 1400 (3.20 GHz) 8 GB DDR4 1 TB HDD AMD Radeon RX 560 Windows 10 Home 64-Bit,$9.99 Shipping
ABS,ABS Master-Pro NVIDIA GeForce GTX 1050 Ti 4 GB Ryzen 5 2400G (3.60 GHz) 16 GB DDR4 120 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALA078,$9.99 Shipping
ABS,ABS Deskmini NVIDIA GeForce GTX 1060 6 GB Intel Core i7-7700 (3.60 GHz) 8 GB DDR4 1 TB SSHD Windows 10 Home 64-Bit ALI196,Free Shipping
ZOTAC,ZOTAC ZBOX Pico PI225 Ultra Slim Fan-less Mini PC Intel N3350 Dual-Core 1.10 GHz CPU Intel HD Graphics 500 4 GB LPDDR3 Memory 32 GB Storage Windows 10 Home 64-Bit Dual Display 4K Ready ZBOX-PI225-W2B,$4.99 Shipping
Lenovo,Lenovo Desktop Computer Legion Y720T-34ASU 90H90002US Ryzen 7 1st Gen 1800X (3.60 GHz) 16 GB DDR4 1 TB HDD 256 GB SSD AMD Radeon RX 570 Windows 10 Home 64-Bit,Free Shipping
ZOTAC,ZOTAC GAMING MEK1 GAMING PC NVIDIA GeForce GTX 1070 Ti Intel Core i7-7700 (3.60 GHz) 16 GB DDR4 240 GB NVMe SSD 1 TB HDD Windows 10 SPECTRA Lighting Ultra-Slim Design Mini ITX Desktop - G1107TK700B-U,$9.99 Shipping
iBUYPOWER,iBUYPOWER Desktop Computer NE8510i Intel Core i7 8th Gen 8700 (3.20 GHz) 8 GB DDR4 1 TB HDD AMD Radeon RX 580 Windows 10 Home 64-Bit,Free Shipping
iBUYPOWER,iBUYPOWER Battlebox Ultimate Desktop Computer NE8410Ki Intel Core i7 8th Gen 8700K (3.70 GHz) 16 GB DDR4 2 TB HDD 240 GB SSD NVIDIA GeForce GTX 1080 Ti Windows 10 Home 64-Bit,$9.99 Shipping
ZOTAC,ZOTAC VR GO VR Ready Backpack Gaming PC Intel 7th Gen Core i7 Quad-core Processor NVIDIA GeForce GTX 1070 8 GB GDDR5 Graphics 16 GB DDR4 240 GB SSD Windows 10 Home Whisper Quiet ZBOX-VR7N71-W2B-U,$9.99 Shipping
MSI,MSI Desktop Computer Trident 3 8RC-003US Intel Core i7 8th Gen 8700 (3.20 GHz) 16 GB DDR4 1 TB HDD 256 GB M.2 SSD NVIDIA GeForce GTX 1060 Windows 10 Home 64-Bit,$9.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Master 2275 Ryzen 7 2nd Gen 2700X (3.70 GHz) 16 GB DDR4 2 TB HDD 120 GB SSD NVIDIA GeForce GTX 1080 Ti Windows 10 Home 64-Bit,$9.99 Shipping
ASUS,ASUS Mini CHROME OS Computer CHROMEBOX2-G095U Celeron 3215U (1.70 GHz) 2 GB DDR3L 16 GB M.2 SSD Intel HD Graphics Google Chrome OS,$4.99 Shipping
ASUS,ASUS Gaming Desktop GR8 II-6GT024Z Intel Core i7 7th Gen 7700 (3.60 GHz) 16 GB DDR4 512 GB SSD NVIDIA GeForce GTX 1060 Windows 10 Home 64-Bit,Free Shipping
CybertronPC,CybertronPC Gaming Desktop TGASETGXM7601WR Ryzen 7 1st Gen 1700X (3.40 GHz) 16 GB DDR4 3 TB HDD 256 GB SSD NVIDIA GeForce GTX 1070 Windows 10 Home 64-Bit,$9.99 Shipping
CybertronPC,CybertronPC Gaming Desktop TGASETGXE7800BU Ryzen Threadripper 1920X (3.50 GHz) 32 GB DDR4 3 TB HDD 240 GB SSD NVIDIA GeForce GTX 1080 Ti Windows 10 Home 64-Bit,$9.99 Shipping
iBUYPOWER,iBUYPOWER Battlebox Essential Desktop Computer NE8490Ki Intel Core i7 8th Gen 8700K (3.70 GHz) 8 GB DDR4 1 TB HDD NVIDIA GeForce GTX 1070 Windows 10 Home 64-Bit,$4.99 Shipping
CybertronPC,CLX SET AMD Ryzen 5 1600 3.20GHz 6-Core 16GB DDR4 NVIDIA GTX 1060 6GB 120GB SSD 1TB HDD Win 10 Home 64-bit,$9.99 Shipping
DELL,DELL Gaming Desktop i5680-7806BLU Intel Core i7 8th Gen 8700 (3.20 GHz) 8 GB DDR4 1 TB HDD 128 GB M.2 SATA SSD NVIDIA GeForce GTX 1060 Windows 10 Home 64-Bit,$9.99 Shipping
Acer America,Acer Desktop Computer Chromebox CXI2-4GNKM Celeron 3215U (1.70 GHz) 4 GB DDR3L 16 GB SSD Intel HD Graphics Google Chrome OS,$9.99 Shipping
ASUS,ASUS Desktop PC VivoMini VC66-B003Z Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Intel HD Graphics 630 Windows 10 Home 64-Bit,Free Shipping
ASUS,ASUS SY CHROMEBIT-K035C ARM Mali-T764 16GB 2GB LPDDR3 HDMI USB BT V4.0 Retail,$4.99 Shipping
HP,HP Desktop Computer Elite Slice X9U62UT#ABA Intel Core i7 6th Gen 6700T (2.80 GHz) 8 GB DDR4 256 GB SSD Intel HD Graphics 530 Windows 10 Pro 64-Bit,$6.73 Shipping
Intel,Intel Compute Stick BOXSTK2M3W64CC Ultra-slim PC Intel Core M m3-6Y30 (0.90 GHz) 4 GB DDR3 64 GB eMMC Intel HD Graphics 515 Windows 10 Home,$9.99 Shipping
ASUS,ASUS Desktop PC VivoMini VM65N-G063Z Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB DDR4 1 TB HDD NVIDIA GeForce 930M Windows 10 Home 64-Bit,$4.99 Shipping
CybertronPC,CybertronPC Gaming PC Celestrium AMD Ryzen 5 1400 3.2GHz (4 Cores) 32GB DDR4 2TB HDD & 250GB NVMe PCIe M.2 SSD GTX 1060 3GB GDDR5 MS Windows 10 Home 64-Bit,Free Shipping
ABS,ABS Spec-Omega NVIDIA GeForce RTX 2080 Ti 11 GB Intel i9-7900X (3.30 GHz) 10-Core Liquid Cooling (240 mm) RGB 32 GB DDR4 3000 MHz 500 GB NVMe SSD 2 TB HDD Windows 10 64-Bit Gaming PC ALI233,$9.99 Shipping
iBUYPOWER,iBUYPOWER Desktop Computer NE010A FX-6000 Series FX-6300 (3.50 GHz) 8 GB DDR3 1 TB HDD NVIDIA GeForce GT 710 Windows 10 Home 64-Bit,$9.99 Shipping
Lenovo,Lenovo Desktop Computer IdeaCentre 510A-15IKL 90GV0000US Intel Core i3 7th Gen 7100 (3.90 GHz) 4 GB DDR4 1 TB HDD Intel HD Graphics 630 Windows 10 Home 64-Bit,$4.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Master 2202 Ryzen 5 2nd Gen 2400G (3.60 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$9.99 Shipping
Lenovo,Lenovo Desktop Computer ThinkCentre M710s (10M7000SUS) Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Intel HD Graphics 630 Windows 10 Pro 64-Bit,Free Shipping
ABS,ABS Crystal STRIX NVIDIA GeForce RTX 2080 8 GB Intel i7-8700K (3.70 GHz) Liquid Cooling (240 mm) 16 GB DDR4 3000 MHz 500 GB NVMe SSD 2 TB HDD Windows 10 Home 64-Bit ALI234,$9.99 Shipping
ASUS,ASUS All-in-One Computer ZN242GD-DS751T Intel Core i7 8th Gen 8750H (2.20 GHz) 8 GB DDR4 1 TB HDD 128 GB SSD 23.8 Touchscreen Windows 10 Home 64-Bit,$21.75 Shipping
CyberpowerPC,CyberpowerPC Gaming Desktop Gamer Master 2178 Ryzen 7 1st Gen 1700 (3.00 GHz) 8 GB DDR4 1 TB HDD NVIDIA GeForce GTX 1060 Windows 10 Home 64-Bit,Free Shipping
ABS,ABS Focus NVIDIA GeForce GTX 1060 6 GB Intel i7-8700 (3.20 GHz) 6-Core 16 GB DDR4 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming PC ALI216,Free Shipping
Lenovo,Lenovo Desktop Computer ThinkCentre M715q (10M30009US) A12-Series APU PRO A12-9800E (3.10 GHz) 8 GB DDR4 128 GB SSD AMD Radeon R7 Windows 10 Pro 64-Bit,Free Shipping
DELL,DELL Desktop Computer OptiPlex 7050 (XNDVW) Intel Core i7 7th Gen 7700 (3.60 GHz) 16 GB DDR4 256 GB M.2 PCIe SSD Intel HD Graphics 630 Windows 10 Pro 64-Bit,Free Shipping
Acer America,Acer Desktop Computer Aspire T TC-865-NESelecti5OPT Intel Core i5+ 8th Gen 8400 (2.80 GHz) 8 GB DDR4 1 TB HDD 16 GB Optane Memory Intel UHD Graphics 630 Windows 10 Home 64-Bit,$9.99 Shipping
ABS,ABS Battlebox Essential BearCat NVIDIA GeForce GTX 1060 6 GB Intel i5-8600K (3.60 GHz) 16 GB DDR4 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALI226,$9.99 Shipping
DELL,Dell i5675-A933BLU-PUS Inspiron 5675 AMD Desktop| Ryzen 5 1400 Processor| 8GB| 1TB| AMD Radeon RX 570 4GB GDDR5 Graphics| Recon Blue,Free Shipping
ASUS,ASUS Desktop Computer CHROMEBOX 3-N017U Celeron 3865U (1.80 GHz) 4 GB DDR4 32 GB M.2 SATA SSD Intel HD Graphics 610 Google Chrome OS,$9.99 Shipping
ABS,ABS Battlebox Ultimate Panzer-G NVIDIA GeForce GTX 1080 Ti 11 GB Intel i7-8700K (3.70 GHz) Liquid Cooling (120 mm) 16 GB DDR4 2666 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming PC ALI228,$9.99 Shipping
Lenovo,Lenovo Desktop Computer ThinkCentre M710e (10UR001MUS) Intel Core i3 7th Gen 7100 (3.90 GHz) 4 GB DDR4 1 TB HDD Intel HD Graphics 630 Windows 10 Pro 64-Bit,Free Shipping
ABS,ABS Battlebox Essential Meteor NVIDIA GeForce GTX 1070 8 GB Intel i7-8700 (3.20 GHz) 6-Core 16 GB DDR4 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALI206,$9.99 Shipping
ABS,ABS Fleet NVIDIA GeForce GTX 1060 6 GB Intel i5-8600K (3.60 GHz) 6-Core 16 GB DDR4 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming PC ALI222,$9.99 Shipping
ABS,ABS TUF NVIDIA GeForce GTX 1060 6 GB Intel i7-8700 (3.20 GHz) 6-Core Liquid Cooling (120 mm) 8 GB DDR4 120 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming PC ALI224,Free Shipping
ABS,ABS Battlebox Ultimate Xtreme NVIDIA GeForce GTX 1080 Ti  Liquid Cooled (240 mm) Intel i9-7920X (2.90 GHz) 64 GB RGB DDR4 3200 500 GB NVMe SSD 3 TB HDD Windows 10 Home 64-Bit ALI209,$9.99 Shipping
Intel,Intel NUC NUC7CJYH Desktop Computer - Intel Celeron J4005 2 GHz DDR4 SDRAM - Mini PC - Intel UHD Graphics 600 Graphics - Wireless LAN - Bluetooth - HDMI - 6 x Total USB Port(s),$9.98 Shipping
Lenovo,Lenovo Desktop Computer ThinkCentre M710q (10MR0004US) Intel Core i5 7th Gen 7500T (2.70 GHz) 8 GB DDR4 256 GB SSD Intel HD Graphics 630 Windows 10 Pro 64-Bit,Free Shipping
HP,HP Gaming Desktop Pavilion 690-0020 Ryzen 5 2nd Gen 2400G (3.60 GHz) 8 GB DDR4 1 TB HDD AMD Radeon RX 580 Windows 10 Home 64-Bit,$9.99 Shipping
Apple,Apple Desktop PC iMac MK142LL/A-S Intel Core i5 1.6 GHz 8 GB LPDDR3 1 TB HDD Intel HD Graphics 6000,$1.99 Shipping
ABS,ABS Eclipse AMD Ryzen 5 2400G (3.60 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit ALA087,$9.99 Shipping
